,Mean,Std
Channel 1,1.1740608485411032e-16,1.0000000000000002
Channel 2,4.259370633974413e-17,1.0000000000000022
Channel 3,9.137579581874888e-16,1.0000000000000013
Channel 4,-4.378719609121617e-17,1.0000000000000002
Channel 5,2.34035013590983e-17,1.0000000000000002
Channel 6,1.7863488466218769e-16,0.9999999999999984
Channel 7,-3.8546943414985435e-16,1.0000000000000022
Channel 8,-9.400924483315975e-16,0.9999999999999986
Channel 9,-2.1924684290297593e-16,1.0000000000000007
Channel 10,7.437384041963924e-17,1.0000000000000002
Channel 11,-1.3818945987509323e-16,1.0000000000000002
Channel 12,2.31342722756267e-16,0.9999999999999976
