Channel,Mean,Variance
Channel 1,18.753812566999986,14723.13140826637
Channel 2,40.84764415565999,24525.90283075931
Channel 3,17.726074307399887,14991.46989179632
Channel 4,-28.585968233399996,15637.542487333041
Channel 5,-0.10507529819999943,8774.850741027572
Channel 6,26.61219355139998,16214.277401222496
Channel 7,-95.19812221720191,58084.31595581187
Channel 8,-188.0140241531994,412919.03314537235
Channel 9,-62.70477148999987,264077.4999976615
Channel 10,51.83206215999996,348223.30406984576
Channel 11,79.81950905540008,257311.83761459243
Channel 12,70.54693667699992,110307.8169473099
