,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12
Channel 1,1.0,0.6320114039055821,-0.17353342655823062,-0.875619640342606,0.7626755547781425,0.3093014316134683,-0.16686124473469083,0.0674206270785208,0.6693590789363933,0.9264045069696908,0.9405775481415284,0.8945908333133148
Channel 2,0.6320114039055821,1.0,0.6498713848272251,-0.9262690444312477,-0.016117419018927222,0.9306584484338302,-0.7228776101121496,-0.643921929012713,-0.009671660250695605,0.5460094569184968,0.7358036490189369,0.8745824277664862
Channel 3,-0.17353342655823062,0.6498713848272251,1.0,-0.3201859940150622,-0.7680431160181918,0.881617324020739,-0.754683791870656,-0.8813996362799615,-0.6684541836653441,-0.21620356108630012,0.010896623796998755,0.23279788105015445
Channel 4,-0.875619640342606,-0.9262690444312477,-0.3201859940150622,1.0,-0.35757431007173685,-0.7272259428983787,0.5291635767354532,0.369004214156567,-0.31685978622820327,-0.7875182823007121,-0.91278252061058,-0.9767327219137008
Channel 5,0.7626755547781424,-0.016117419018927222,-0.7680431160181918,-0.35757431007173685,1.0,-0.37711411168648784,0.3831928806138129,0.619895947193254,0.8687091539355122,0.7386016543844862,0.5994790855692135,0.4251959171260697
Channel 6,0.30930143161346835,0.93065844843383,0.881617324020739,-0.7272259428983786,-0.3771141116864879,1.0,-0.8089638218214957,-0.8175515202545942,-0.32422203946794764,0.2342845482513901,0.45970450353561554,0.6520973931200787
Channel 7,-0.16686124473469083,-0.7228776101121496,-0.754683791870656,0.5291635767354532,0.3831928806138129,-0.8089638218214958,1.0,0.9180711740615638,0.5670682440555107,0.03909115067992132,-0.2069550551869946,-0.41732110080955137
Channel 8,0.0674206270785208,-0.643921929012713,-0.8813996362799615,0.36900421415656703,0.619895947193254,-0.8175515202545942,0.9180711740615638,1.0,0.7433183489233789,0.21649876111131608,-0.04911038985324291,-0.2792083406799543
Channel 9,0.6693590789363933,-0.009671660250695603,-0.6684541836653441,-0.31685978622820327,0.8687091539355122,-0.3242220394679476,0.5670682440555108,0.743318348923379,1.0,0.8120980441329034,0.6256917758837641,0.4217873821231167
Channel 10,0.9264045069696908,0.5460094569184968,-0.21620356108630012,-0.7875182823007121,0.7386016543844862,0.2342845482513901,0.039091150679921326,0.21649876111131605,0.8120980441329033,1.0,0.9619738020674959,0.8647419237666638
Channel 11,0.9405775481415284,0.7358036490189369,0.010896623796998753,-0.91278252061058,0.5994790855692135,0.45970450353561554,-0.2069550551869946,-0.04911038985324292,0.6256917758837642,0.9619738020674959,1.0,0.9650427595670502
Channel 12,0.8945908333133149,0.8745824277664862,0.23279788105015442,-0.9767327219137008,0.4251959171260697,0.6520973931200786,-0.41732110080955137,-0.2792083406799543,0.4217873821231167,0.8647419237666638,0.9650427595670501,1.0
