,Eigenvalue,Explained Variance (%),Cumulative Variance (%)
Component 1,6.374817207787917,53.123476731566065,53.123476731566065
Component 2,5.026891990266174,41.890766585551525,95.01424331711759
Component 3,0.44859787467294526,3.73831562227455,98.75255893939215
Component 4,0.08024165769615965,0.6686804808013316,99.42123942019347
Component 5,0.05587429593189979,0.46561913276583244,99.88685855295931
Component 6,0.005842681626308185,0.04868901355256829,99.93554756651187
Component 7,0.0025867719880528026,0.021556433233773393,99.95710399974564
Component 8,0.0020319528473273446,0.01693294039439457,99.97403694014004
Component 9,0.0017327536744817678,0.014439613954014757,99.98847655409405
Component 10,0.0005239142211977703,0.00436595184331476,99.99284250593736
Component 11,0.0004514929035998997,0.0037624408633325046,99.99660494680069
Component 12,0.0004074063839150272,0.0033950531992918993,99.99999999999999
