,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
Variable 1,0.3494779192183688,0.19085079247216766,0.2523717913204726,-0.2765122989762135,0.22138284810581008,0.1134831682656302,0.46938334621993816,-0.04325605991077351,-0.13964662510246534,-0.35176943538828853,-0.43984881402639725,0.2837253677997819
Variable 2,0.36163459244008567,-0.17458173185629247,-0.11183245246313318,-0.25736009853560415,0.12115259211148974,0.08439210778471481,-0.6330033426426751,0.15889850564653318,0.23843995293827921,0.1831991045321652,-0.46187797004367526,0.09226155816553738
Variable 3,0.11695347006011922,-0.4091118350178045,-0.3924603336643356,-0.1266068573514896,-0.04694976647682044,0.06090918890275732,0.5072563584638619,0.07305194272533132,-0.1844157077175529,0.5657246909716434,-0.14483343478630353,-0.07283453849659531
Variable 4,-0.3937323786594928,0.016375183178164946,-0.05161326646453176,0.26918150614666275,-0.19762554714067593,-0.10428364423949435,0.12809617642323912,0.6892949835627068,0.15273109101371748,-0.1140315230710221,-0.38653499000213193,0.2058583051881129
Variable 5,0.1495439679986945,0.3911706748977674,0.4328287835275282,-0.1313110634837645,0.1925894459481348,0.11299190330155522,0.04504060674771171,0.5054772466550087,-0.015259736959863263,0.453287717835762,0.2509657244554657,-0.20966300551917003
Variable 6,0.2799498513255115,-0.3036884708561171,-0.2599158201718418,-0.2670306069188042,0.03471958903537329,0.06401681546481246,0.06047177020251593,0.4461822307420758,0.09928675338928972,-0.4823752368526647,0.48752506802444007,-0.04771135901381023
Variable 7,-0.19654298381312652,0.34171783744831774,-0.5547960390430365,0.12361188161453596,0.6990360754210175,0.14514674535675573,-0.038137159687029694,0.030853625192926254,-0.09119882666599723,-0.022587290861724323,0.003826857158703407,0.023532419673568113
Variable 8,-0.13487874628949112,0.40534617744195184,-0.26640641395498815,-0.5333153587127024,-0.20067525940418166,-0.3523219943528708,0.15152919446302562,-0.1016040357750691,0.44028255087401263,0.006309836062661837,-0.07772047747810053,-0.25394825347017846
Variable 9,0.14311402858313269,0.40318207453809723,-0.2931698131915762,-0.12154895615556535,-0.4636047212687255,0.07164460448699449,-0.16952362653625055,0.06108432484048664,-0.41553503864005004,0.1018529029446105,0.16935571139205727,0.5019794026627573
Variable 10,0.327374725952022,0.23881976102216476,-0.1890674846886712,0.32545870528460025,-0.29467168430545293,0.27117696703534977,-0.010962713575076494,0.050041862063886784,-0.1507838217076077,-0.19862478854012244,-0.24906480955294702,-0.6378929871400576
Variable 11,0.3729263062605503,0.13619229450462475,-0.09676449813477575,0.42891830698700595,-0.051006820600817654,0.1540508333238568,0.21448206053226257,-0.1181508479500596,0.6507470845415776,0.1445574778515234,0.15931308867588512,0.30495659039588585
Variable 12,0.39255025256159476,0.03161899658479487,-0.04885187564911974,0.27549447802158433,0.15320239111100423,-0.8372271439690756,-0.017503501763105448,0.07974807661034466,-0.1875518666911147,0.01484686241890083,-0.0009156631062598578,-0.011724465628752468
